city,year,weekofyear,total_cases
sj,2011,23,42
sj,2011,24,42
sj,2011,25,57
sj,2011,26,51
sj,2011,27,46
sj,2011,28,46
sj,2011,29,44
sj,2011,30,40
sj,2011,31,50
sj,2011,32,44
sj,2011,33,53
sj,2011,34,48
sj,2011,35,54
sj,2011,36,52
sj,2011,37,42
sj,2011,38,51
sj,2011,39,45
sj,2011,40,47
sj,2011,41,51
sj,2011,42,40
sj,2011,43,38
sj,2011,44,31
sj,2011,45,43
sj,2011,46,37
sj,2011,47,37
sj,2011,48,30
sj,2011,49,28
sj,2011,50,21
sj,2011,51,27
sj,2012,52,15
sj,2012,1,15
sj,2012,2,17
sj,2012,3,15
sj,2012,4,12
sj,2012,5,10
sj,2012,6,10
sj,2012,7,12
sj,2012,8,12
sj,2012,9,11
sj,2012,10,10
sj,2012,11,10
sj,2012,12,9
sj,2012,13,9
sj,2012,14,14
sj,2012,15,16
sj,2012,16,18
sj,2012,17,17
sj,2012,18,21
sj,2012,19,24
sj,2012,20,22
sj,2012,21,35
sj,2012,22,30
sj,2012,23,21
sj,2012,24,33
sj,2012,25,29
sj,2012,26,33
sj,2012,27,35
sj,2012,28,34
sj,2012,29,37
sj,2012,30,41
sj,2012,31,42
sj,2012,32,37
sj,2012,33,42
sj,2012,34,48
sj,2012,35,43
sj,2012,36,41
sj,2012,37,34
sj,2012,38,33
sj,2012,39,35
sj,2012,40,43
sj,2012,41,43
sj,2012,42,37
sj,2012,43,53
sj,2012,44,47
sj,2012,45,49
sj,2012,46,37
sj,2012,47,36
sj,2012,48,40
sj,2012,49,29
sj,2012,50,24
sj,2012,51,18
sj,2013,1,17
sj,2013,2,16
sj,2013,3,14
sj,2013,4,11
sj,2013,5,11
sj,2013,6,13
sj,2013,7,13
sj,2013,8,13
sj,2013,9,11
sj,2013,10,11
sj,2013,11,14
sj,2013,12,17
sj,2013,13,18
sj,2013,14,18
sj,2013,15,15
sj,2013,16,17
sj,2013,17,17
iq,2010,26,7
iq,2010,27,5
iq,2010,28,7
iq,2010,29,5
iq,2010,30,0
iq,2010,31,3
iq,2010,32,5
iq,2010,33,4
iq,2010,34,5
iq,2010,35,6
iq,2010,36,6
iq,2010,37,6
iq,2010,38,7
iq,2010,39,4
iq,2010,40,6
iq,2010,41,6
iq,2010,42,7
iq,2010,43,8
iq,2010,44,12
iq,2010,45,7
iq,2010,46,7
iq,2010,47,9
iq,2010,48,9
iq,2010,49,10
iq,2010,50,9
iq,2010,51,7
iq,2011,52,7
iq,2011,1,7
iq,2011,2,8
iq,2011,3,7
iq,2011,4,6
iq,2011,5,6
iq,2011,6,7
iq,2011,7,8
iq,2011,8,8
iq,2011,9,9
iq,2011,10,7
iq,2011,11,8
iq,2011,12,9
iq,2011,13,9
iq,2011,14,9
iq,2011,15,7
iq,2011,16,7
iq,2011,17,8
iq,2011,18,10
iq,2011,19,4
iq,2011,20,6
iq,2011,21,7
iq,2011,22,5
iq,2011,23,3
iq,2011,24,4
iq,2011,25,2
iq,2011,26,3
iq,2011,27,4
iq,2011,28,2
iq,2011,29,3
iq,2011,30,4
iq,2011,31,4
iq,2011,32,4
iq,2011,33,3
iq,2011,34,5
iq,2011,35,1
iq,2011,36,2
iq,2011,37,6
iq,2011,38,6
iq,2011,39,7
iq,2011,40,7
iq,2011,41,8
iq,2011,42,10
iq,2011,43,8
iq,2011,44,6
iq,2011,45,8
iq,2011,46,9
iq,2011,47,9
iq,2011,48,8
iq,2011,49,10
iq,2011,50,8
iq,2011,51,8
iq,2012,52,10
iq,2012,1,8
iq,2012,2,8
iq,2012,3,8
iq,2012,4,6
iq,2012,5,8
iq,2012,6,9
iq,2012,7,8
iq,2012,8,7
iq,2012,9,6
iq,2012,10,7
iq,2012,11,6
iq,2012,12,6
iq,2012,13,8
iq,2012,14,6
iq,2012,15,9
iq,2012,16,10
iq,2012,17,8
iq,2012,18,8
iq,2012,19,5
iq,2012,20,5
iq,2012,21,5
iq,2012,22,5
iq,2012,23,6
iq,2012,24,3
iq,2012,25,3
iq,2012,26,4
iq,2012,27,3
iq,2012,28,3
iq,2012,29,5
iq,2012,30,0
iq,2012,31,1
iq,2012,32,2
iq,2012,33,1
iq,2012,34,3
iq,2012,35,4
iq,2012,36,4
iq,2012,37,4
iq,2012,38,5
iq,2012,39,5
iq,2012,40,3
iq,2012,41,8
iq,2012,42,8
iq,2012,43,9
iq,2012,44,9
iq,2012,45,8
iq,2012,46,10
iq,2012,47,11
iq,2012,48,12
iq,2012,49,10
iq,2012,50,10
iq,2012,51,10
iq,2013,1,9
iq,2013,2,7
iq,2013,3,6
iq,2013,4,9
iq,2013,5,8
iq,2013,6,11
iq,2013,7,9
iq,2013,8,10
iq,2013,9,8
iq,2013,10,9
iq,2013,11,10
iq,2013,12,11
iq,2013,13,11
iq,2013,14,9
iq,2013,15,8
iq,2013,16,10
iq,2013,17,8
iq,2013,18,3
iq,2013,19,6
iq,2013,20,8
iq,2013,21,6
iq,2013,22,7
iq,2013,23,7
iq,2013,24,4
iq,2013,25,4
iq,2013,26,4
